Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,0.7787232398986816,0.40853166580200195
Malsdown,Flip-Pushdown Automata: k+1 Pushdown Reversals Are Better than k.,0.03249335289001465,0.026478290557861328
Computer Tcience Curriculc 2013,Tools for Analysis of Curricula Evolution Across Computer Science Curriculum Guidelines.,0.14466381072998047,0.12301754951477051
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,0.5163755416870117,0.296750545501709
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,0.5627903938293457,0.39830970764160156
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",0.8016750812530518,0.4348909854888916
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,0.6505184173583984,0.33922457695007324
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,0.6881325244903564,0.45764994621276855
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,0.1964879035949707,0.17862820625305176
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,0.5584032535552979,0.35347437858581543
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,0.4711432456970215,0.27709221839904785
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,Object Data Language Facilities for Multimedia Data Types.,0.46825480461120605,0.33741283416748047
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,Object Data Model Facilities for Multimedia Data Types.,0.4403955936431885,0.3102273941040039
Dittributed Object Mcncgement Technology.,Distributed Object Management Technology.,0.40507960319519043,0.22851109504699707
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Experiments with Dispatching in a Distributed Object System.,0.5755355358123779,0.33702540397644043
Muffin: C Dittributed Dctcbcte Mcchine,Interoperable Private Attribution: A Distributed Attribution and Aggregation Protocol.,0.2961122989654541,0.20309710502624512
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,0.47652244567871094,0.3302435874938965
Inharisanca for ADSs (ravisad),QUALES: Estimaci&oacute;n Autom&aacute;tica de Calidad de Traducci&oacute;n Mediante Aprendizaje Autom&aacute;tico Supervisado y No-Supervisado.,0.2118549346923828,0.17897701263427734
Modificction of Uter Defined Typet,Modification of User Defined Types,0.20952391624450684,0.16892290115356445
Objacs ADSs (wish improvamanss for Valua ADSs),Object ADTs (with improvements for Value ADTs),0.3669734001159668,0.25727081298828125
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs,0.25618505477905273,0.17997121810913086
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,0.9902229309082031,0.6147606372833252
Clgebrciccl Optimizction of FTC-Exprettiont,Algebraical Optimization of FTA-Expressions,0.24238276481628418,0.18204188346862793
Wittentrepr&cuml;tentction und Mctchinellet Lernen,Eine Dienstg&uuml;teabbildungs- und -steuerungsarchitektur zur Gew&auml;hrleistung unterschiedlicher Dienstg&uuml;teklassen f&uuml;r Ferntraining und -lernen.,0.5666403770446777,0.4019937515258789
Cn Clgebrcic Chcrccterizction of TTUF,An Algebraic Characterization of Testable Boolean CSPs.,0.2288358211517334,0.19229912757873535
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,0.3728647232055664,0.27822256088256836
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,0.13142061233520508,0.11364936828613281
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,0.7203376293182373,0.46603894233703613
Defiaite Resolutioa over Coastraiat Laaguages,Definite Resolution over Constraint Languages,0.5146913528442383,0.33670902252197266
Dokuieatatioa der Syatax der LILOG-Graiiatik,Dokumentation der Syntax der LILOG-Grammatik,0.1665947437286377,0.149918794631958
Cogaitive Liaguistics: The Processiag of Spatial Coacepts,Cognitive Linguistics: The Processing of Spatial Concepts,0.6927385330200195,0.45585107803344727
LILOG-DB: Database Support for Kaowledge-Based Systeis,LILOG-DB: Database Support for Knowledge-Based Systems,0.44736671447753906,0.2832162380218506
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,Differential Closure Computation for General Horn-Clause Queries,0.5440988540649414,0.3594381809234619
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,SQL/Data System for VSE: A Relational Data System for Application Development.,0.318159818649292,0.22871685028076172
A Logical Operatioaal Seiaatics of Full Prolog,A Logical Operational Semantics of Full Prolog,0.39191675186157227,0.280686616897583
Eia Fact Iaaager zur persisteatea Speicheruag variabel strukturierter koiplexer Objekte,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte,0.8444943428039551,0.5657095909118652
How could a good systei of practical aLP look like?,How could a good system of practical NLP look like?,0.34203147888183594,0.27422380447387695
I&ouil;glichkeitea des Eiasatzes eiaes dreiwertigea Theoreibeweisers,M&ouml;glichkeiten des Einsatzes eines dreiwertigen Theorembeweisers,0.4917013645172119,0.34972548484802246
Attribute Iaheritaace Iipleieated oa Top of a Relatioaal Database Systei,Attribute Inheritance Implemented on Top of a Relational Database System,0.6205716133117676,0.4024922847747803
LMT - Mcchine Trcntlction Demonttrction,LMT - Machine Translation Demonstration,0.14113736152648926,0.13381719589233398
Implementction Ctpectt of c Ncturcl Lcngucge Underttcnding Tyttem in c Prolog/DB Environment,Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment,0.6781885623931885,0.4360623359680176
Sort Processiag ia a Deductive Database Systei,Sort Processing in a Deductive Database System,0.44290685653686523,0.3059813976287842
